Text,Sentiment,Timestamp,User,Platform,Retweets,Likes,Country,Year,Month,Day,Hour,Processed_Text
enjoying a beautiful day at the park nature park,Positive,2023-01-15 12:30:00,User123,Twitter,15.0,30.0,USA,2023,1,15,12,enjoy beauti day park natur park
traffic was terrible this morning traffic morning,Negative,2023-01-15 08:45:00,CommuterX,Twitter,5.0,10.0,Canada,2023,1,15,8,traffic terribl morn traffic morn
just finished an amazing workout  fitness workout,Positive,2023-01-15 15:45:00,FitnessFan,Instagram,20.0,40.0,USA,2023,1,15,15,finish amaz workout fit workout
excited about the upcoming weekend getaway travel adventure,Positive,2023-01-15 18:20:00,AdventureX,Facebook,8.0,15.0,UK,2023,1,15,18,excit upcom weekend getaway travel adventur
trying out a new recipe for dinner tonight cooking food,Neutral,2023-01-15 19:55:00,ChefCook,Instagram,12.0,25.0,Australia,2023,1,15,19,tri new recip dinner tonight cook food
feeling grateful for the little things in life gratitude positivevibes,Positive,2023-01-16 09:10:00,GratitudeNow,Twitter,25.0,50.0,India,2023,1,16,9,feel grate littl thing life gratitud positivevib
rainy days call for cozy blankets and hot cocoa rainydays cozy,Positive,2023-01-16 14:45:00,RainyDays,Facebook,10.0,20.0,Canada,2023,1,16,14,raini day call cozi blanket hot cocoa rainyday cozi
the new movie release is a mustwatch movienight mustwatch,Positive,2023-01-16 19:30:00,MovieBuff,Instagram,15.0,30.0,USA,2023,1,16,19,new movi releas mustwatch movienight mustwatch
political discussions heating up on the timeline politics debate,Negative,2023-01-17 08:00:00,DebateTalk,Twitter,30.0,60.0,USA,2023,1,17,8,polit discuss heat timelin polit debat
missing summer vibes and beach days summer beachdays,Neutral,2023-01-17 12:20:00,BeachLover,Facebook,18.0,35.0,Australia,2023,1,17,12,miss summer vibe beach day summer beachday
just published a new blog post check it out blogging newpost,Positive,2023-01-17 15:15:00,BloggerX,Instagram,22.0,45.0,USA,2023,1,17,15,publish new blog post check blog newpost
feeling a bit under the weather today sickday health,Negative,2023-01-18 10:30:00,WellnessCheck,Twitter,7.0,15.0,Canada,2023,1,18,10,feel bit weather today sickday health
exploring the citys hidden gems cityexplore hiddengems,Positive,2023-01-18 14:50:00,UrbanExplorer,Facebook,12.0,25.0,UK,2023,1,18,14,explor citi hidden gem cityexplor hiddengem
new year new fitness goals  newyear fitnessgoals,Positive,2023-01-18 18:00:00,FitJourney,Instagram,28.0,55.0,USA,2023,1,18,18,new year new fit goal newyear fitnessgo
technology is changing the way we live tech innovation,Neutral,2023-01-19 09:45:00,TechEnthusiast,Twitter,15.0,30.0,India,2023,1,19,9,technolog chang way live tech innov
reflecting on the past and looking ahead reflection future,Positive,2023-01-19 13:20:00,Reflections,Facebook,20.0,40.0,USA,2023,1,19,13,reflect past look ahead reflect futur
just adopted a cute furry friend  petadoption furryfriend,Positive,2023-01-19 17:10:00,PetAdopter,Instagram,15.0,30.0,Canada,2023,1,19,17,adopt cute furri friend petadopt furryfriend
latenight gaming session with friends gaming latenight,Positive,2023-01-20 00:05:00,GamerX,Twitter,18.0,35.0,UK,2023,1,20,0,latenight game session friend game latenight
attending a virtual conference on ai ai techconference,Neutral,2023-01-20 11:30:00,TechConference,Facebook,25.0,50.0,USA,2023,1,20,11,attend virtual confer ai ai techconfer
winter blues got me feeling low winterblues mood,Negative,2023-01-20 15:15:00,WinterBlues,Instagram,8.0,15.0,USA,2023,1,20,15,winter blue got feel low winterblu mood
