Text,Sentiment,Timestamp,User,Platform,Retweets,Likes,Country,Year,Month,Day,Hour,Text_Combined,Processed_Text_NLTK,Sentiment_Score_VADER,Sentiment_VADER,TextBlob_Subjectivity,TextBlob_Polarity,Sentiment_TextBlob
Enjoying a beautiful day at the park!,Positive,2023-01-15 12:30:00,User123,Twitter,15.0,30.0,USA,2023,1,15,12,enjoying beautiful day park nature park,enjoy beauti day park natur park,0.8074,Positive,0.8,0.675,Positive
Traffic was terrible this morning.,Negative,2023-01-15 08:45:00,CommuterX,Twitter,5.0,10.0,Canada,2023,1,15,8,traffic terrible morning traffic morning,traffic terribl morn traffic morn,-0.4767,Negative,1.0,-1.0,Negative
Just finished an amazing workout! 💪,Positive,2023-01-15 15:45:00,FitnessFan,Instagram,20.0,40.0,USA,2023,1,15,15,finished amazing workout fitness workout,finish amaz workout fit workout,0.7096,Positive,0.9,0.6000000000000001,Positive
Excited about the upcoming weekend getaway!,Positive,2023-01-15 18:20:00,AdventureX,Facebook,8.0,15.0,UK,2023,1,15,18,excited upcoming weekend getaway travel adventure,excit upcom weekend getaway travel adventur,0.5719,Positive,0.75,0.375,Positive
Trying out a new recipe for dinner tonight.,Neutral,2023-01-15 19:55:00,ChefCook,Instagram,12.0,25.0,Australia,2023,1,15,19,trying new recipe dinner tonight cooking food,tri new recip dinner tonight cook food,0.0,Neutral,0.45454545454545453,0.13636363636363635,Positive
Feeling grateful for the little things in life.,Positive,2023-01-16 09:10:00,GratitudeNow,Twitter,25.0,50.0,India,2023,1,16,9,feeling grateful little things life gratitude positivevibes,feel grate littl thing life gratitud positivevib,0.7605,Positive,0.5,-0.1875,Negative
Rainy days call for cozy blankets and hot cocoa.,Positive,2023-01-16 14:45:00,RainyDays,Facebook,10.0,20.0,Canada,2023,1,16,14,rainy days call cozy blankets hot cocoa rainydays cozy,raini day call cozi blanket hot cocoa rainyday cozi,-0.0772,Negative,0.7833333333333333,-0.04999999999999999,Neutral
The new movie release is a must-watch!,Positive,2023-01-16 19:30:00,MovieBuff,Instagram,15.0,30.0,USA,2023,1,16,19,new movie release mustwatch movienight mustwatch,new movi releas mustwatch movienight mustwatch,0.0,Neutral,0.45454545454545453,0.13636363636363635,Positive
Political discussions heating up on the timeline.,Negative,2023-01-17 08:00:00,DebateTalk,Twitter,30.0,60.0,USA,2023,1,17,8,political discussions heating timeline politics debate,polit discuss heat timelin polit debat,0.0,Neutral,0.1,0.0,Neutral
Missing summer vibes and beach days.,Neutral,2023-01-17 12:20:00,BeachLover,Facebook,18.0,35.0,Australia,2023,1,17,12,missing summer vibes beach days summer beachdays,miss summer vibe beach day summer beachday,-0.296,Negative,0.05,-0.2,Negative
Just published a new blog post. Check it out!,Positive,2023-01-17 15:15:00,BloggerX,Instagram,22.0,45.0,USA,2023,1,17,15,published new blog post check blogging newpost,publish new blog post check blog newpost,0.0,Neutral,0.45454545454545453,0.13636363636363635,Positive
Feeling a bit under the weather today.,Negative,2023-01-18 10:30:00,WellnessCheck,Twitter,7.0,15.0,Canada,2023,1,18,10,feeling bit weather today sickday health,feel bit weather today sickday health,0.128,Positive,0.0,0.0,Neutral
Exploring the city's hidden gems.,Positive,2023-01-18 14:50:00,UrbanExplorer,Facebook,12.0,25.0,UK,2023,1,18,14,exploring citys hidden gems cityexplore hiddengems,explor citi hidden gem cityexplor hiddengem,0.0,Neutral,0.3333333333333333,-0.16666666666666666,Negative
"New year, new fitness goals! 💪",Positive,2023-01-18 18:00:00,FitJourney,Instagram,28.0,55.0,USA,2023,1,18,18,new year new fitness goals newyear fitnessgoals,new year new fit goal newyear fitnessgo,0.2732,Positive,0.45454545454545453,0.13636363636363635,Positive
Technology is changing the way we live.,Neutral,2023-01-19 09:45:00,TechEnthusiast,Twitter,15.0,30.0,India,2023,1,19,9,technology changing way live tech innovation,technolog chang way live tech innov,0.3818,Positive,0.5,0.13636363636363635,Positive
Reflecting on the past and looking ahead.,Positive,2023-01-19 13:20:00,Reflections,Facebook,20.0,40.0,USA,2023,1,19,13,reflecting past looking ahead reflection future,reflect past look ahead reflect futur,0.0,Neutral,0.1875,-0.125,Negative
Just adopted a cute furry friend! 🐾,Positive,2023-01-19 17:10:00,PetAdopter,Instagram,15.0,30.0,Canada,2023,1,19,17,adopted cute furry friend petadoption furryfriend,adopt cute furri friend petadopt furryfriend,0.7351,Positive,1.0,0.5,Positive
Late-night gaming session with friends.,Positive,2023-01-20 00:05:00,GamerX,Twitter,18.0,35.0,UK,2023,1,20,0,latenight gaming session friends gaming latenight,latenight game session friend game latenight,0.4767,Positive,0.0,0.0,Neutral
Attending a virtual conference on AI.,Neutral,2023-01-20 11:30:00,TechConference,Facebook,25.0,50.0,USA,2023,1,20,11,attending virtual conference ai ai techconference,attend virtual confer ai ai techconfer,0.0,Neutral,0.0,0.0,Neutral
Winter blues got me feeling low.,Negative,2023-01-20 15:15:00,WinterBlues,Instagram,8.0,15.0,USA,2023,1,20,15,winter blues got feeling low winterblues mood,winter blue got feel low winterblu mood,-0.1531,Negative,0.3,0.0,Neutral
Sipping coffee and enjoying a good book.,Positive,2023-01-21 08:40:00,Bookworm,Twitter,22.0,45.0,India,2023,1,21,8,sipping coffee enjoying good book reading coffeetime,sip coffe enjoy good book read coffeetim,0.743,Positive,0.6000000000000001,0.6,Positive
Exploring the world of virtual reality.,Positive,2023-01-21 13:20:00,VRExplorer,Facebook,15.0,30.0,USA,2023,1,21,13,exploring world virtual reality vr virtualreality,explor world virtual realiti vr virtualr,0.0,Neutral,0.0,0.0,Neutral
Productive day ticking off my to-do list.,Positive,2023-01-21 16:45:00,ProductivityPro,Instagram,30.0,60.0,USA,2023,1,21,16,productive day ticking todo list productivity workfromhome,product day tick todo list product workfromhom,0.0,Neutral,0.0,0.0,Neutral
Just finished a challenging workout routine.,Positive,2023-01-22 09:15:00,FitnessWarrior,Twitter,20.0,40.0,UK,2023,1,22,9,finished challenging workout routine fitness challengeaccepted,finish challeng workout routin fit challengeaccept,0.4019,Positive,1.0,0.5,Positive
Celebrating a milestone at work! 🎉,Positive,2023-01-22 14:30:00,CareerMilestone,Facebook,12.0,25.0,Canada,2023,1,22,14,celebrating milestone work career milestone,celebr mileston work career mileston,0.5719,Positive,0.0,0.0,Neutral
Sunday brunch with friends.,Positive,2023-01-22 12:00:00,BrunchBuddy,Instagram,15.0,30.0,UK,2023,1,22,12,sunday brunch friends brunch friends,sunday brunch friend brunch friend,0.7351,Positive,0.0,0.0,Neutral
Learning a new language for personal growth.,Positive,2023-01-23 16:20:00,LanguageLearner,Facebook,25.0,50.0,India,2023,1,23,16,learning new language personal growth languagelearning personalgrowth,learn new languag person growth languagelearn personalgrowth,0.3818,Positive,0.37727272727272726,0.06818181818181818,Positive
Quiet evening with a good book.,Positive,2023-01-23 19:45:00,BookLover,Instagram,15.0,30.0,Australia,2023,1,23,19,quiet evening good book reading quiettime,quiet even good book read quiettim,0.4404,Positive,0.4666666666666667,0.35,Positive
Reflecting on the importance of mental health.,Positive,2023-01-24 11:30:00,MentalHealthMatters,Twitter,22.0,45.0,USA,2023,1,24,11,reflecting importance mental health mentalhealth selfcare,reflect import mental health mentalhealth selfcar,0.3612,Positive,0.2,-0.1,Negative
New painting in progress! 🎨,Positive,2023-01-24 15:00:00,ArtistInAction,Facebook,12.0,25.0,Canada,2023,1,24,15,new painting progress art paintinginprogress,new paint progress art paintinginprogress,0.4215,Positive,0.45454545454545453,0.13636363636363635,Positive
Weekend road trip to explore scenic views.,Positive,2023-01-24 17:30:00,RoadTripper,Instagram,18.0,35.0,UK,2023,1,24,17,weekend road trip explore scenic views roadtrip scenicviews,weekend road trip explor scenic view roadtrip scenicview,0.0,Neutral,0.0,0.0,Neutral
Enjoying a cup of tea and watching the sunset.,Positive,2023-01-25 18:00:00,SunsetWatcher,Twitter,15.0,30.0,India,2023,1,25,18,enjoying cup tea watching sunset teatime sunset,enjoy cup tea watch sunset teatim sunset,0.5267,Positive,0.6,0.5,Positive
Coding a new project with enthusiasm.,Positive,2023-01-25 13:15:00,CodeEnthusiast,Facebook,30.0,60.0,USA,2023,1,25,13,coding new project enthusiasm coding enthusiasm,code new project enthusiasm code enthusiasm,0.7003,Positive,0.45454545454545453,0.13636363636363635,Positive
Feeling inspired after attending a workshop.,Positive,2023-01-26 09:45:00,WorkshopAttendee,Instagram,25.0,50.0,USA,2023,1,26,9,feeling inspired attending workshop inspiration workshop,feel inspir attend workshop inspir workshop,0.7964,Positive,0.0,0.0,Neutral
Winter sports day at the local park.,Positive,2023-01-26 14:20:00,WinterSports,Twitter,15.0,30.0,Canada,2023,1,26,14,winter sports day local park wintersports fun,winter sport day local park wintersport fun,0.5106,Positive,0.1,0.15,Positive
